Clock frequency is approx. 3146.6 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	21939	13707	10876	7544	5174	3970	3285	2837	2647	2501	2452	2434	2429	2443	2415	2311	2388	2378	2388	2366	2352	2253	2206	2346	2199	2188	2287	2252	2192	2186	2189	2191	
256m	21991	13974	11274	7838	5308	4054	3299	2840	2655	2507	2507	2506	2496	2499	2430	2321	2410	2406	2415	2385	2367	2259	2207	2352	2198	2182	2283	2275	2190	2180	2178	2192	
128m	21971	13690	11023	7596	5177	3953	3285	2838	2650	2500	2488	2489	2479	2496	2484	2446	2469	2458	2430	2400	2372	2257	2191	2362	2191	2177	2306	2251	2192	2203	2192	2192	
64m	22065	14057	11287	7777	5335	4100	3378	2917	2717	2568	2516	2529	2526	2515	2475	2437	2483	2446	2420	2409	2378	2310	2482	3023	3111	3504	3877	4622	5295	5909	7528	2206	
32m	21663	13857	11027	7620	5203	3943	3312	2853	2669	2530	2467	2495	2510	2561	2627	2226	5826	4511	5229	6313	7087	10775	11400	11752	12767	15580	15617	15580	14686	14651	12691	2210	
16m	38562	25247	19489	16404	13510	11243	9960	9033	9284	9562	9763	10046	10435	11459	11053	6973	9169	11845	12674	12904	13440	14306	14984	15400	15438	15378	15224	15311	15422	15478	14719	7041	
8m	60071	38692	30742	25362	20221	16921	14670	12837	13064	12813	13012	12703	12347	12381	12307	11713	12481	12978	13067	13232	13692	14565	15405	15717	15548	15537	15468	15387	15882	15692	15035	10507	
4m	60721	44437	30738	24654	20023	16818	14716	12843	12638	11867	12166	11844	12258	12092	12141	11731	12515	12962	12928	13046	13500	14220	15485	15527	15853	15161	15754	15834	15802	15371	15101	10492	
2m	60571	42815	28618	21648	17288	15537	13301	11694	10794	11976	11468	11201	11016	10974	11736	11421	11964	12297	11856	12663	13250	16043	16934	15295	15918	17014	15452	16139	15630	16885	16924	10559	
1024k	60847	44222	32243	24150	19244	17432	15103	12800	12942	12416	13278	13399	13302	13603	14548	12385	14498	16457	16283	16894	16469	17541	17516	17557	17668	17736	17806	17873	18059	18104	17783	10808	
512k	61357	47985	37030	30550	23165	20925	18091	15802	14732	16588	16917	16694	17462	17754	18035	16250	18121	18268	18291	18330	18278	18209	18214	18184	18218	18311	18223	18184	18058	18379	18193	15275	
256k	62990	59317	48492	36518	29208	24345	20949	18330	18348	18330	18312	18291	18311	18314	18239	18185	18275	18344	18372	18330	18380	18315	18112	18184	18329	18316	18348	18184	18058	18245	18199	17901	
128k	62347	58751	48102	36077	29095	24436	20952	18333	18351	18330	17921	17974	18076	17940	17970	17901	17682	17871	18209	17977	18183	18110	18110	18184	20363	18087	30856	17703	21066	43643	42234	17370	
64k	61101	57282	47016	35801	28640	23866	20775	17901	17871	17977	18110	18184	18087	17703	40794	17901	48912	56701	48234	51031	54541	59685	49803	47723	45818	58736	56569	54541	52653	50905	59392	16870	
32k	66435	61963	58747	60226	53978	54551	54552	52180	56701	51031	52058	54714	44052	54541	61358	41046	44915	51132	60275	57268	54541	34706	40007	47723	36804	58304	42409	40906	53022	38179	29696	35801	
16k	67390	67302	63643	57282	57268	54368	46898	57537	42421	57268	52058	47723	35399	32871	51285	48091	33668	42737	30137	37898	36632	52023	33438	47688	45800	22026	28460	40906	19719	25642	36920	24046	
